province_code,province_name,sector_code,sector_name,sector_category,year,employed_thousands,avg_annual_salary_cad,unemployment_rate_pct,part_time_pct
AB,Alberta,PS-FED,Federal government,Public Administration,2010,28.13,89130.0,7.8,23.2
AB,Alberta,PS-FED,Federal government,Public Administration,2011,27.32,90616.0,7.3,24.6
AB,Alberta,PS-FED,Federal government,Public Administration,2012,28.27,94184.0,5.4,26.8
AB,Alberta,PS-FED,Federal government,Public Administration,2013,28.45,102424.0,5.7,15.6
AB,Alberta,PS-FED,Federal government,Public Administration,2014,28.72,98630.0,7.6,22.1
AB,Alberta,PS-FED,Federal government,Public Administration,2015,28.63,101963.0,8.4,26.3
AB,Alberta,PS-FED,Federal government,Public Administration,2016,28.67,105565.0,5.8,12.7
AB,Alberta,PS-FED,Federal government,Public Administration,2017,29.17,110773.0,7.2,27.5
AB,Alberta,PS-FED,Federal government,Public Administration,2018,28.92,109357.0,5.8,15.0
AB,Alberta,PS-FED,Federal government,Public Administration,2019,29.24,111999.0,4.6,22.7
AB,Alberta,PS-FED,Federal government,Public Administration,2020,30.35,119687.0,7.7,24.9
AB,Alberta,PS-FED,Federal government,Public Administration,2021,29.93,121504.0,6.9,14.2
AB,Alberta,PS-FED,Federal government,Public Administration,2022,30.03,123981.0,7.4,22.6
AB,Alberta,PS-FED,Federal government,Public Administration,2023,29.22,125607.0,5.8,21.1
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2010,94.61,81498.0,6.8,19.5
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2011,93.53,79147.0,6.7,20.9
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2012,97.94,83899.0,3.7,19.0
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2013,99.14,83515.0,7.8,15.7
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2014,97.49,87382.0,5.0,22.6
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2015,99.21,88670.0,6.8,18.5
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2016,101.54,88660.0,3.6,13.4
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2017,100.03,94072.0,4.3,20.0
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2018,103.61,96309.0,5.7,18.1
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2019,103.24,97178.0,5.3,13.4
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2020,99.71,96859.0,8.0,23.2
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2021,106.45,106332.0,7.4,23.5
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2022,105.55,104255.0,4.0,26.4
AB,Alberta,PS-PROV,Provincial and territorial government,Public Administration,2023,109.48,101952.0,5.0,21.3
AB,Alberta,PS-LOCAL,Local government,Public Administration,2010,54.51,65050.0,7.3,23.5
AB,Alberta,PS-LOCAL,Local government,Public Administration,2011,55.85,69746.0,6.4,22.4
AB,Alberta,PS-LOCAL,Local government,Public Administration,2012,55.46,71827.0,3.7,19.9
AB,Alberta,PS-LOCAL,Local government,Public Administration,2013,57.72,74013.0,4.0,21.4
AB,Alberta,PS-LOCAL,Local government,Public Administration,2014,57.13,72973.0,6.4,17.5
AB,Alberta,PS-LOCAL,Local government,Public Administration,2015,58.94,76423.0,8.3,19.7
AB,Alberta,PS-LOCAL,Local government,Public Administration,2016,59.36,80842.0,5.9,19.9
AB,Alberta,PS-LOCAL,Local government,Public Administration,2017,60.16,78431.0,5.9,16.3
AB,Alberta,PS-LOCAL,Local government,Public Administration,2018,59.77,81819.0,5.7,12.3
AB,Alberta,PS-LOCAL,Local government,Public Administration,2019,62.21,85323.0,4.2,20.9
AB,Alberta,PS-LOCAL,Local government,Public Administration,2020,57.31,85776.0,4.9,22.6
AB,Alberta,PS-LOCAL,Local government,Public Administration,2021,65.0,89571.0,4.0,26.7
AB,Alberta,PS-LOCAL,Local government,Public Administration,2022,62.34,88805.0,6.3,17.9
AB,Alberta,PS-LOCAL,Local government,Public Administration,2023,63.43,96097.0,5.1,27.2
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2010,115.66,71662.0,4.8,27.0
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2011,118.66,72793.0,5.7,27.9
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2012,121.13,79229.0,8.0,26.3
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2013,124.37,80574.0,7.4,22.6
